id,Year,CrimeType,AssaultType,Sex,Count
273,2022,Robbery,N/A,Female,13
274,2015,Sexual Violation,N/A,Male,41
275,2020,Assault,Assault on a Peace Officer,Male,291
276,2018,Other,N/A,Male,96
277,2019,Other,N/A,Female,164
278,2023,Assault,Other,Unknown,1
279,2021,Assault,Resisting Arrest,Male,42
280,2023,Robbery,N/A,Female,59
281,2022,Assault,Other,Female,631
282,2020,Assault,Resisting Arrest,Female,2
283,2020,Assault,Assault on a Peace Officer,Male,57
284,2022,Assault,Other,Unknown,2
285,2016,Robbery,N/A,Female,97
286,2020,Assault,Resisting Arrest,Male,19
287,2014,Assault,Other,Male,285
288,2023,Assault,Resisting Arrest,Female,10
289,2015,Other,N/A,Male,440
290,2014,Robbery,N/A,Unknown,1
291,2023,Robbery,N/A,Female,126
292,2021,Assault,Assault on a Peace Officer,Male,49
293,2018,Robbery,N/A,Female,10
294,2014,Sexual Violation,N/A,Male,70
295,2019,Other,N/A,Male,199
296,2023,Other,N/A,Unknown,6
297,2021,Other,N/A,Female,280
298,2016,Assault,Other,Male,180
299,2021,Assault,Other,Male,516
300,2014,Other,N/A,Female,474
301,2017,Sexual Violation,N/A,Female,513
302,2021,Other,N/A,Male,97
303,2023,Assault,Assault on a Peace Officer,Male,52
304,2021,Assault,Assaulting a Peace Officer with a Weapon,Unknown,3
305,2016,Sexual Violation,N/A,Male,25
306,2018,Other,N/A,Female,168
307,2020,Sexual Violation,N/A,Female,446
308,2015,Assault,Other,Unknown,1
309,2015,Assault,Assault on a Peace Officer,Female,2
310,2016,Robbery,N/A,Male,162
311,2020,Robbery,N/A,Female,4
312,2021,Assault,Resisting Arrest,Male,3
313,2014,Assault,Assaulting a Peace Officer with a Weapon,Male,1
314,2014,Other,N/A,Female,497
315,2019,Assault,Resisting Arrest,Female,13
316,2019,Assault,Assault on a Peace Officer,Female,11
317,2019,Assault,Assault on a Peace Officer,Male,15
318,2019,Robbery,N/A,Female,102
319,2023,Assault,Assault on a Peace Officer,Unknown,1
320,2017,Assault,Assault on a Peace Officer,Male,3
321,2016,Other,N/A,Unknown,2
322,2022,Sexual Violation,N/A,Female,155
323,2019,Assault,Other,Male,985
324,2019,Assault,Other,Unknown,2
325,2017,Assault,Assault on a Peace Officer,Female,7
326,2023,Robbery,N/A,Male,221
327,2021,Assault,Resisting Arrest,Female,4
328,2017,Other,N/A,Male,387
329,2018,Other,N/A,Female,107
330,2015,Sexual Violation,N/A,Male,31
331,2017,Assault,Resisting Arrest,Male,7
332,2015,Assault,Other,Male,211
333,2022,Robbery,N/A,Unknown,1
334,2017,Assault,Resisting Arrest,Female,15
335,2019,Assault,Aggravated Assault on a Peace Officer,Female,1
336,2022,Robbery,N/A,Male,149
337,2021,Robbery,N/A,Male,130
338,2017,Other,N/A,Male,61
339,2023,Assault,Assaulting a Peace Officer with a Weapon,Male,3
340,2015,Robbery,N/A,Male,631
341,2015,Assault,Resisting Arrest,Female,1
342,2020,Sexual Violation,N/A,Male,3
343,2020,Assault,Other,Male,1001
344,2014,Assault,Other,Female,1905
345,2023,Sexual Violation,N/A,Unknown,1
346,2021,Assault,Other,Male,301
347,2018,Sexual Violation,N/A,Female,51
348,2019,Robbery,N/A,Male,472
349,2022,Robbery,N/A,Female,147
350,2019,Other,N/A,Female,358
351,2021,Other,N/A,Male,332
352,2021,Other,N/A,Female,127
353,2023,Sexual Violation,N/A,Male,12
354,2014,Sexual Violation,N/A,Male,2
355,2019,Assault,Resisting Arrest,Male,30
356,2017,Assault,Assault on a Peace Officer,Male,51
357,2021,Sexual Violation,N/A,Female,508
358,2016,Sexual Violation,N/A,Female,181
359,2023,Sexual Violation,N/A,Unknown,1
360,2023,Assault,Resisting Arrest,Female,3
361,2019,Assault,Assaulting a Peace Officer with a Weapon,Male,4
362,2019,Assault,Assault on a Peace Officer,Female,1
363,2022,Assault,Assault on a Peace Officer,Female,3
364,2016,Other,N/A,Male,172
365,2020,Robbery,N/A,Female,46
366,2019,Assault,Assault on a Peace Officer,Female,1
367,2018,Robbery,N/A,Female,116
368,2022,Robbery,N/A,Female,58
369,2016,Assault,Assault on a Peace Officer,Female,5
370,2017,Assault,Other,Male,1316
371,2019,Sexual Violation,N/A,Unknown,2
372,2015,Assault,Assault on a Peace Officer,Unknown,1
373,2016,Assault,Assault on a Peace Officer,Female,14
374,2015,Robbery,N/A,Male,615
375,2020,Assault,Resisting Arrest,Female,1
376,2021,Assault,Resisting Arrest,Unknown,1
